say	言う|言ってみれば(例えば)
replace	に取って代わる|を取り替える|(=take the place of)|をもとの場所に戻す
sound	聞こえる|音
leav	去る|残して去る|許可|休暇
go	行く
talk	話す
keep	保つ|キープする
tell	伝える|言う|区別する
put	置く
come	来る
set	セットする|(定められた場所に)置く|準備が出来ている(ready)
hinder	妨げる
fable	寓話(ぐうわ)|作り話|伝説|神話
confer	相談する|協議する|授与する
quo	そのままの状態|現状
sucker	乳飲み子|お人よし|カモ|吸盤|(俗)lollipop ペロペロキャンディー
retriever	リトリーバー(犬種:狩の獲物を回収する(retrieve)に由来)
cobalt	コバルト(金属元素)
butte	差別侵食によって形成された孤立丘
magnolia	モクレン(花)
tenor	男性の高音部歌手
inverter	逆変換回路
collage	コラージュ(画面に新聞紙の切り抜きや写真をはりつけ特殊な効果をねらう技法)
tertiary	第3の|ひどい
cation	陽(正)イオン
punt	パント船(さおでこぐ平底の船)|さおでこぐ
conformity	相似|適合|一致(to,with)|(法・慣習などに)服従|準拠|協調(to,with)
lira	リラ(通貨)
magnum	マグナム瓶(約2.3リットル)|マグナム弾
micron	ミクロン|マイクロン(100 万分の1 記号μ)
cot	(羊・ハトなどの)小屋|囲い(cote)|粗末な家|(米国)指サック|小児用ベッド=crib|格納や運搬のために折り畳める小型のベッド	anc
analogy	相似(生命化学)|外見や機能は似ているが遺伝子が共通の祖先に由来しないこと|(対義語)homology|類似|類推
epilepsy	てんかん,痙攣,発作(=seizure)
emulation	競争|対抗|張り合い|なりすます|まねる
sow	雌豚|蒔く|種をまく
empowerment	権限委譲|人びとに夢や希望を与え勇気づけること
nib	ペン先|くちばし(=bill, beak, pecker, neb)
supper	夕食(会)|夜食
riddle	なぞなぞ|判じ物|難問|ふるい(にかける)(=sieve)	anc
bleach	漂白する|晒す
flee	(人･場所)から逃げる|消える|を捨てる
estrogen	ステロイドホルモンの一種
mole	モグラ|防波堤|スパイ|ほくろ|グラム分子|モル(単位)
vegan	完全菜食主義者
lug	強く引く|持ち出す|突起
yay	いえーい
pawn	担保|質(に入れる)|を賭ける|を賭けて誓う|人質(=hostage, pledge, captive)
captive	捕らわれた|人質(=hostage, pawn, pledge, captive)|とりこ(の)
saw	seeの過去形|のこぎり(で切る)
scramble	はい登る|奪い合う|をごちゃ混ぜにする|(盗聴予防に)周波数を変える|緊急発進する|(つる草などが)はびこる
biomass	生物量|バイオマス|生態学で
diode	ダイオード|整流作用(電流を一定方向にしか流さない作用)を持つ電子素子
soprano	ソプラノ(女性の高音部歌手)
arithmetic	(一般的な)計算力|数値に強い
tort	私犯|不法行為(=legal liability)
cervical	子宮頸管の|頚部の
cutlery	刃物類|食卓用金物(ナイフ, フォーク, スプーンなど)
canary	カナリア|カナリア色の
unregistered	未登録の
clarion	爽やかな(声･音)|明快な
aftermath	余波
vie	優劣を争う|競う(=compete)
rosemary	ローズマリー(スパイスの一種)
tho	(=though)|だけどねの意(口語)
matte	つや消しの|(色･つやが)鈍い
mule	ラバ(家畜)|頑固者|雑種の動植物|つっかけ式スリッパ
gitabit	ギガ(10^9)ビット
scalable	拡張性のある
electromagnetic	電磁力の
doe	鹿,ウサギ,羊等の雌(反義語buck)|ドレミのド(*,Ray,Me,Far,Sew,La,Tea)
me	私を|私に|ドレミのミ(Doe,Ray,*,Far,Sew,La,Tea)
sew	を縫う|縫い物をする|を縫い付ける|ドレミのソ(Doe,Ray,Me,Far,*,La,Tea)
improper	不適切な|不道徳な|不規則な
metaphor	比喩|隠喩|暗喩(類似語simile 直喩)
blaster	光線銃
glamour	魅惑|グラマー(=glamor)
neutron	中性子
incubus	インキュバス|悪夢|心配事|夢魔(むま)|淫魔
roach	ゴキブリ(=cockroach)|ローチ(コイ科の魚)|マリファナの吸いさし
hostage	宿泊所|抵当|入質(=pawn, pledge, captive)
exodus	《時にan exodus》(多数の人々が)国を出て行くこと|モーセの出エジプト(記)
ounce	1オンスは28.3グラム
gemini	双子座|双子座生まれの人
emulator	競争者|見習う人|エミュレータ
snoop	のぞき回る|捜し回る|詮索する|探偵・スパイ|詮索好きの人|おせっかい屋
decoder	デコーダ|コード化を元に戻すもの|(反義語)coder
nanny	おばあちゃん(=nan, nana, granny, grandma, granma, gran)|ばあや|乳母|子守|雌ヤギ
apostle	使徒
circa	(年代･日付の前に用い)およそ(略c., ca.)
zodiac	《the ~》黄道帯|獣帯|十二宮図(占星術)
lifecycle	生活環
deco	デコレーションdecoration
dong	ベルのように鐘を鳴らす音
attic	屋根裏(=garret, loft)
checksum	データの信頼性を確認する検出符号
beard	(通常複数形)あごひげ|ふさ毛
nan	インドの粘土オーブンで焼かれた発酵パン|おばあちゃん(=nana, nanny, granny, grandma, granma, gran)|子守|乳母
ore	鉱石|原鉱|(複数形ore)|オーレ(通貨)
cookware	料理用具:pots,pans,bowls (utensilはknife,fork)
implicit	暗黙の|暗示的な|絶対の|絶対的な|(反義語)explicit
creed	(=credoラテン語)|信条|信念|教義
carcinoma	癌腫
grandma	おばあちゃん(=nan, nana, nanny, granny, granma, gran)
liter	リットル(1000cc)
kayak	カヤック
radioactive	放射能の|放射性の
submarine	潜水艦|海底の
rodeo	(牧牛の)かり集め|公開競技会
shear	を刈る|はさみを入れる|奪い取る|剥奪する|大ばさみ|(羊毛の)刈り込み
proliferation	増殖|急増|拡散|(生物)分芽|分裂|増殖
madden	(人を)発狂させる|激怒させる
glacier	氷河
troll	トロール(北欧民話で洞穴に住む巨人･小人)|陽気に歌う|輪唱する|流し釣りする
potassium	カリウム(独Kalium)
ark	箱舟 (ノアの箱舟)
loft	屋根裏(=attic, garret)|ハト小屋|屋根裏に貯蔵する|打ち上げる
advent	出現|到来|キリスト降臨
gran	おばあちゃん(=nan, nana, nanny, granny, grandma, granma)
proton	陽子
notch	切り目(をつける)|刻み目|山峡|V字形の刻み目|山あい|段|級
chunk	厚切|大量|たくさん|厚切り|大きな塊
nucleotide	ヌクレオチド(化合物)
scarface	傷や痘痕のある顔
rechargeable	充電できる
muse	熟考する|物思いにふける|瞑想|(古代ギリシャの)詩神|詩才
molly	モリー(女性名Maryの愛称)|人気がある観賞魚(グッピーの異表記)
strait	(複数形で)難局|困難|海峡
supra	越えて|上に
weakness	弱さ|弱点|衰弱|不十分
hoc	これ|adhoc 特定の問題(hoc) について(ad)
biomedical	生物医学|医療従事者が|薬物|放射線
equatorial	赤道の(付近の)|赤道儀
reboot	再起動
pentagon	五角形|五辺形|ペンタゴン(米国国防総省の建物)
vivo	in vitro 試験管内で(=生体外で)|in vivo (in the body) 生体内で
capita	per capita 一人当たり(の)|頭割りで(=by heads)
baton	バトン|警棒
tome	大きな本|大作|学術書
duplex	重複の|二連の
blossom	(特に果実の)花が咲く|開花する|発展する
kc	1000サイクル(=kilocycle[s])
cola	〈C〉コーラの木(熱帯産の木)|〈U〉コーラの木の実からつくった炭酸飲料(Coca-Cola, Pepsi Colaなど)
hail	歓迎する|を認める|(タクシーなどを)呼び止める|ひょう,あられ
delphi	神託地|デルファイ(古代ギリシャのアポロンの神話地)
lemma	(言語学で)語彙素(lexeme)を代表する基本形
mol	モル(物質量の単位)
nay	《古語》否,いや(no)|《文語》そればかりでなく,それどころか|拒絶|否定|反対投票(者)
vitro	in vitro 試験管内で(=生体外で)|in vivo (in the body) 生体内で
daemon	悪鬼|鬼|悪魔(=demon, devil, Satan, fiend)
iris	(眼球の)虹彩(こうさい)|アヤメ|アイリス
aluminium	アルミニウム
lynch,私刑|リンチ|私刑に処する
neon	ネオン(元素記号Ne)
err	誤る(=error)
dia	直径(diameter) cf. 半径(radius)
buffet	打撃|(風波･運命の)翻弄|打つ|食器棚|ビュッフェ･立食
checker	照合係|(携帯品)一時預かり|レジ係|格子縞(にする)|色とりどりにする|チェッカー(ボードゲーム)
wan	青ざめた|病弱な|かすかな
hl	100リットル(=hectoliters)
lime	わなをかける|石灰|石灰をまく|ライム果|シナノキ|鳥もち
sic	(疑わしいまたは誤った文章を) 原文のまま引用
hepatitis	肝炎
obesity	(医)肥満|肥満体
pix	写真|絵|(pic=picture)の複数形
kinda	いくぶん|ちょっと|(類似語sorta)
zinc	亜鉛|亜鉛でメッキをする
jumper	跳躍する人|跳躍選手|跳びはねる虫(ノミ他)|障害馬|(ブラウスなどの上に着る)プルオーバー|作業用上着 (日本語のジャンパーはwindbreaker, jacket)
blah	不快な|憂鬱な|つまらない(こと)|blah-blah-blah などなど, かくかくしかじか|Blah! ちぇ!, くだらない!
peso	ペソ(通貨, 複数形pesos)
marry	結婚する
corpus	文章の収集|集成|死体
granny	おばあちゃん(=nan, nana, nanny, granny, grandma, granma, gran)
pork	豚肉|(US俗語)援助金|職務|利権
remainder	(算数)余り|残余|残留者|残り物|遺跡|継承権
scary	おどろきやすい|恐ろしい|驚きやすい|臆病な
referee	(特に決定･解決を)委託された人|調停者|審判|レフェリー
widget	規格品|小型装置|部品
willow	ヤナギ|柳|やなぎば色
cursor	位置表示機構|線を引いたガラス板|カーソル
heath	ヒース(植物)|(ヒースのおい茂った)荒れ野
scuba	スキューバ|水中自動呼吸機器
explicitly	明示的|(反義語)implicitly
ramp	ランプ(高速道路出入口)|建物の連絡用傾斜路
titanium	チタン
canoe	カヌー
acre	エーカー(面積の単位:約4047㎡)|(複数形で)土地|地所
rand	ランド(南アフリカの通貨単位, 複数形rand)
stain	しみ|汚れ|汚点
boulevard	大通り|並木道(仏語Boulevard)
dominant	優勢な(反義語recessive)|主要な|有力な
swear	swore(過去形), sworn(過去分詞)|誓って言う|誓う|断言する
sq	平方(square)の略
trio	トリオ|三重奏(曲, 団)|三人組み|三重唄(曲, 団)
eco	エコ|economyの略|架空の人物名|エコ(通貨)
asthma	喘息
hydrogen	水素
levy	課税(する)|(強制的に)課する(=impose)|差し押さえる(=seize)
vault	金庫|貴重品保管室|丸天井|地下室|貯蔵所
gallon	ガロン(約3.8リットル)
sodium	ナトリウム(英sodium|独Natrium)
ala	悲しいかな|(鳥･コウモリ･昆虫の)翼
patio	(米語)パティオ(テラスのこと)
amino	アミノ基の
harbour	港|(US英)harbor
wound	傷つける|心の傷|wind(巻く, 吹く)の過去･過去分詞
chem	(略語)chemistry, chemical, chemist
flush	ほおがぱっと赤らむ|(空が)ばら色になる|メモリをクリアする
lap	座った時の腰からひざ頭まで|子供等のせる場所|(猫, 犬などが)なめること|さざ波の音|(競技)走路の一周
martial	好戦的な|軍の|戦争の|軍人らしい
polo	ポロ(乗馬で球を打つスポーツ)|POLO(服飾メーカー名)|Polo(車名)
cardinal	枢機卿|深紅色の|基本的な|主要な
barrel	容器|樽(1barrel=約117.3リットル)|銃身|胴体
badge	バッジ|記章|袖章
theorem	法則|定理(=axiom)|原則
mug	(人を暗闇で)襲って金品を奪う|(俗)がり勉する|大型コップ|マグ|ジョッキ|(俗)つら|顔写真を作る|不良|まぬけ
unto	の方へ(=toの古い用法)|〜まで|〜に
whilst	一方(=while)
explicit	率直な|明白な|あからさまな|(反義語)implicit
fraction	破片|一部分|端数|比|割合|分数
pledge	誓約|質入|乾杯|を誓う|人質(=hostage, pawn, captive)|保証する
lotus	ロータス|蓮|ハス(の実)|ロートス(伝説の木)
hammer	たたく|を槌で打つ|槌|金槌|ハンマー
traveller	旅行者|(US英)traveler
dialog	(UK英)dialogue|対話|問答
divide	割る|分割する
rocky	ふらふらの|グロッキーの|岩のような|頑固な
horizontal	地平線の|水平の
queue	行列して待つ|待行列|列|おさげ髪
phenomenon	現象|驚くべき物(事)|(複数形phenomena)
fusion	核融合|融解|融合|溶融|合併|連合|統合
ruby	ルビー|ルビー色の|紅玉(7月の誕生石)|深紅色|赤ぶどう酒|真紅の|ルビ(振り仮名用の活字)
scratch	スクラッチする|ひっかくこと|ひっかく|傷をつける|ひっかき傷
gel	ゲル|膠(こう)化体
tear	涙|引き裂く|tore(過去形), torn(過去分詞)
pie	パイ(食べ物)|総額|楽なこと|カササギ
bee	ハチ|ミツバチ|働き者|(仕事, 娯楽の)会合|集まり
knit	編んだ|組む|編む
proxy	代理(権, 人)|委任状|代用となるもの
bubble	泡(立てる･立つ)|実態のないもの|みせかけ
opt	選択する
triple	3倍の|3重の|三重の|三種類の|三塁打
fairly	相当に|公平に|正しく|かなり|完全に|全く
cord	コード|紐
throat	のど|咽喉|喉|気管|食道
radiation	放射線|放射|輻射|放熱
twist	をねじる|を曲げる|を縫っていく|よじれ|より糸
probe	徹底的な調査|査察(=investigation他)|探り針|試験|探る|厳密に調査する
devil	悪魔(=daemon, Satan, fiend)
blade	刃|(俗)ナイフ|羽根|タービン翼|(草の)葉
shoulder	肩|(道路の)路肩
jr	ジュニア(Jr.)|二世
grey	灰色になる|灰色の
parallel	平行の|平行線|類似点|と平行する|と似ている
animation	生気|活気|活発|動画|アニメーション
dragon	竜
journey	(通常陸上の, 比較的長い)旅行|(人生などの)行路|遍歴
traveler	旅行者|旅客|外交員|移動販売員
rail	レール|横木|手すり|欄干|罵る|非難する|クイナ(鳥)
narrow	(幅や面積が)狭い|狭くなる|狭い部分
echo	反響|おうむ返しに言う
lie	横たわる|横になる|寝る|うそ|詐欺
miller	粉屋|製粉業者|フライス盤
alpha	(第1ギリシア文字)アルファ|Α|α
resume	再会する|回復する|占める|を取り返す|履歴書(=curriculum vitae)
